Packing,OStk,PurTot,QohValue,type_dose,type_gram,type_kit,type_lot,type_ml,type_sach,type_tab,type_unit,type_vial,type_x,Actual,Predicted,Error,Absolute_Error
200.0,42,0,3987.33,0,0,0,0,1,0,0,0,0,0,80,10.37398634758987,69.62601365241014,69.62601365241014
1.0,210,0,0.0,0,0,0,0,0,0,0,0,1,0,210,146.81931337368923,63.180686626310774,63.180686626310774
10.0,165,0,8229.77,0,0,0,0,0,1,0,0,0,0,84,29.698738679502164,54.30126132049784,54.30126132049784
15.0,310,0,4430.44,0,0,0,0,0,1,0,0,0,0,96,147.42725303139625,-51.42725303139625,51.42725303139625
10.0,236,0,3301.9,0,0,0,0,0,1,0,0,0,0,24,75.03541673129516,-51.03541673129516,51.03541673129516
1.0,240,0,3403.95,0,0,0,0,1,0,0,0,0,0,90,43.60289462974366,46.39710537025634,46.39710537025634
10.0,224,0,15399.63,0,0,0,0,0,1,0,0,0,0,11,53.88714858827095,-42.88714858827095,42.88714858827095
10.0,199,0,8103.09,0,0,0,0,0,1,0,0,0,0,77,37.42617412016901,39.57382587983099,39.57382587983099
5.0,230,0,1877.65,0,0,0,0,1,0,0,0,0,0,60,98.32591971738573,-38.32591971738573,38.32591971738573
10.0,75,0,4802.38,0,0,0,0,0,1,0,0,0,0,52,16.20824880872251,35.79175119127749,35.79175119127749
10.0,530,0,4405.8,0,0,0,0,0,1,0,0,0,0,130,164.68866638834328,-34.68866638834328,34.68866638834328
10.0,83,0,343.51,0,0,0,0,0,1,0,0,0,0,77,44.46683931181082,32.53316068818918,32.53316068818918
10.0,100,0,6615.44,0,0,0,0,0,1,0,0,0,0,46,14.095880675484201,31.904119324515797,31.904119324515797
30.0,104,0,1369.22,0,0,0,0,1,0,0,0,0,0,75,45.87344176637267,29.12655823362733,29.12655823362733
10.0,115,0,845.15,0,0,0,0,0,1,0,0,0,0,73,45.21881103264551,27.78118896735449,27.78118896735449
10.0,50,100,2817.44,0,0,0,0,0,1,0,0,0,0,68,42.623766890791465,25.376233109208535,25.376233109208535
5.0,160,0,0.0,0,0,0,0,1,0,0,0,0,0,160,135.3389761685924,24.66102383140759,24.66102383140759
150.0,112,0,7369.6,0,0,0,0,1,0,0,0,0,0,0,20.345639550886418,-20.345639550886418,20.345639550886418
2.0,126,210,1620.48,0,0,0,0,1,0,0,0,0,0,112,131.75702432963593,-19.757024329635925,19.757024329635925
10.0,70,0,693.0,0,0,0,0,0,1,0,0,0,0,10,28.796666109935938,-18.796666109935938,18.796666109935938
